binary,given_name,surname,date_of_birth,phone_number,email,address,city,state,zipcode,duplicate_2,correlated w target 2,duplicate_1,uniform corr 1,random choice 2,correlated w target 1,target,multicollinearity 4,informative_2,multicollinearity 2,outliers 2,uniform corr 2,pd qcut3,multicollinearity 3,outliers 1,random choice 7,random label num 12,multicollinearity 1,pd qcut1,informative_1,corr_feature_class,class,scaling_combined,random choice 4_North,random choice 4_South,random choice 4_West,pd qcut2_Q2,pd qcut2_Q3,pd qcut2_Q4,semi_constant_1_q_const_0_1,semi_constant_1_q_const_0_2,random label num 3_label num lo 2,random label num 3_label num lo 3,semi_constant_2_q_const_0_1,semi_constant_2_q_const_0_2
1,0.009900990099009901,0.12475247524752475,0.0019801980198019802,0.0019801980198019802,0.0019801980198019802,0.0019801980198019802,0.0019801980198019802,0.5732673267326732,51206.0,-0.6638599972813359,,-0.9991017824896424,,1,3.0992615035786133,-0.9042236742875388,0.6976774046912618,-0.6638599972813359,-0.1157430058001859,2.310828886041937,,0.3673267326732673,0.8442403553577824,0.4988516297761956,0.200990099009901,0.07326732673267326,-0.5318469798929827,0,-0.9991017824896424,0.1010481433850287,1,54089.23008073844,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0.0039603960396039604,0.12475247524752475,0.0019801980198019802,0.0019801980198019802,0.0019801980198019802,0.38712871287128714,0.5613861386138614,0.0039603960396039604,34775.0,1.153596854135379,2.542745124366179,1.2466861830450993,0.9359507852036708,0,3.8654128022389775,2.324369783092482,-0.1693689178524877,1.153596854135379,-1.035014867690179,4.833149910957099,0.4129652547815469,0.15841584158415842,0.1764758860244676,-1.4533921207024902,0.14455445544554454,0.07524752475247524,-0.345348117388624,1,1.2466861830450993,9.05572700159576,1,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,0.006930693069306931,0.0049504950495049506,0.0019801980198019802,0.0019801980198019802,0.0019801980198019802,0.38712871287128714,0.5613861386138614,0.5732673267326732,,0.8593974662590766,3.271180774398444,0.9627768269601936,,1,,1.7782165547025084,-0.1145683865373723,0.8593974662590766,-0.4999669267333593,4.613395869714689,0.6418898420338113,0.15841584158415842,0.0081910114129116,0.0227084821926029,0.14653465346534653,0.07623762376237624,-1.9769236460682476,1,0.9627768269601936,6.433520236989399,1,58007.72172291447,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,0.01089108910891089,0.007920792079207921,0.0019801980198019802,0.0019801980198019802,0.0019801980198019802,0.38712871287128714,0.5613861386138614,0.5732673267326732,,2.0336452879154674,5.71709643755502,-2.957440950943304,0.7039493880232874,0,-1.8489986352102663,5.451234575139656,1.0241422170257204,2.0336452879154674,-0.8582011114427254,1.7893663825825563,,0.15544554455445544,0.9123096794743186,-0.7782703678681285,0.200990099009901,0.07623762376237624,-0.0275017299223526,1,-2.957440950943304,11.233637406848231,1,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,0.0019801980198019802,0.006930693069306931,0.10297029702970296,0.05148514851485148,0.0019801980198019802,0.0019801980198019802,0.5613861386138614,0.011881188118811881,61466.0,1.05944863351561,-1.109861975522857,1.1411652716579703,0.7444449284471171,0,-0.5577077310956946,2.1539258469951807,0.4192664361338663,1.05944863351561,-0.5222156158220734,-0.0995417118244499,,0.15841584158415842,0.7916829472579828,-0.5446591572704393,0.14455445544554454,0.08217821782178218,0.0427510183961839,1,1.1411652716579703,8.969994526179446,1,52743.25301150765,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0049504950495049506,0.0019801980198019802,0.10297029702970296,0.0019801980198019802,0.10198019801980197,0.0019801980198019802,0.0019801980198019802,0.5732673267326732,57923.0,2.399635889224372,,2.485477863898728,0.7256604655111067,0,-1.3896713987803149,4.626787069235546,0.7060643314107178,2.399635889224372,1.6711427944208632,-0.419296690468971,0.9671781291723548,0.3673267326732673,0.7386213316277787,-0.2566510221636847,0.200990099009901,0.07524752475247524,1.5428306945365489,1,2.485477863898728,2.3903888529635955,1,39155.92736981501,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0.006930693069306931,0.0019801980198019802,0.0019801980198019802,0.0019801980198019802,0.0019801980198019802,0.0019801980198019802,0.5613861386138614,0.01089108910891089,91056.0,-0.747560845179044,2.0870756859335238,-0.6479636736717482,0.1035047698070871,0,-1.4846410887426422,-1.187224231921867,2.2416402737167287,-0.747560845179044,-0.700246424500229,1.8048638444179013,,0.1603960396039604,2.1051421261535714,,0.200990099009901,0.061386138613861385,0.8606310246110864,0,-0.6479636736717482,-3.0569075352506188,0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,0.007920792079207921,0.12475247524752475,0.0019801980198019802,0.0019801980198019802,0.0019801980198019802,0.38712871287128714,0.0019801980198019802,0.013861386138613862,73047.0,-0.8182224427035356,,-0.8922328125534437,0.1518274079780863,0,,-1.266374292198878,0.1174616306346008,-0.8182224427035356,0.3085797420331749,-1.5529189280524909,,0.1603960396039604,0.5512964798897615,,0.12673267326732673,0.07425742574257425,-0.8206026101374756,0,-0.8922328125534437,2.0696416786976437,0,41995.33015422632,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,0.005940594059405941,0.0029702970297029703,0.0019801980198019802,0.0019801980198019802,0.0019801980198019802,0.0019801980198019802,0.0019801980198019802,0.00891089108910891,92631.0,-0.0915466678066115,-1.4340622817582227,-0.7273359834485558,0.3877355791565591,0,2.6002138400812043,0.2411105626158083,,-0.0915466678066115,1.3609631659930903,6.171794800196756,0.8096936101340755,0.3673267326732673,,4.232879624421151,0.1306930693069307,0.07920792079207921,0.9962118527306156,0,-0.7273359834485558,,0,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,0.019801980198019802,0.0019801980198019802,0.0019801980198019802,0.0019801980198019802,0.10198019801980197,0.38712871287128714,0.0019801980198019802,0.005940594059405941,28587.0,-1.8069333466532715,-0.5457408420708028,0.9753643211025784,0.2917928549936987,0,,-3.935564389564147,-2.179949260020475,-1.8069333466532715,0.4015116355447215,4.612235619883373,0.0936830578028356,0.08217821782178218,-1.6068828652645366,,0.1405940594059406,0.0801980198019802,,0,0.9753643211025784,-0.1638569686497262,0,42742.810968092,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
